year,month,total_trips,avg_trip_distance,fare_amount_sum,extra_sum,tip_amount_sum,payment_type_1_count,payment_type_2_count,payment_type_3_count,payment_type_4_count,payment_type_5_count,payment_type_0_count
2015,1,12503930,2.473297898,138714586.1,3911957.1,21969425.95,7720759,4734277,37302,11590,2,
2015,2,12442200,2.800564059,153721326.8,3867137.46,20773656.24,7981958,4408586,39079,12577,,
2015,3,13341756,2.905747517,169365788.5,4208378.26,22608610.5,8434598,4850359,42836,13961,2,
2015,4,13063506,2.949168413,168159415.6,4199802.91,22103676.18,8175727,4830626,42710,14439,4,
2015,5,13150573,3.044727465,173821053.7,4045172.21,22622020.1,8152132,4937516,45183,15739,3,
2015,6,12060981,2.652314968,148070676.4,3968499.39,19558914.22,7548724,4456635,41347,14273,2,
2015,7,11251993,2.588788151,133600794.1,3715136.09,17382916.66,6944194,4256341,38360,13098,,
2015,8,10788706,2.601746258,126946936,3516897.7,16373224,6611214,4126371,37436,13684,1,
2015,9,11196444,3.021726531,147637987.4,3550295.25,19271413.68,6997144,4143151,40857,15291,1,
2015,10,11923082,2.526395872,143072691.8,3777387.71,19192882.21,7583886,4282252,42514,14429,1,
2015,11,11301841,3.000249848,148336174.2,3343058.83,20009855.19,7225674,4021577,41020,13566,4,
2015,12,11155396,2.546623575,135365698.8,3634885.01,17866090.57,6976722,4121770,42349,14552,3,
2016,1,10582151,2.427495587,118955218.1,3378317.38,16752626.05,6954066,3578711,36544,12829,1,
2016,2,11086909,2.443424382,125273805.4,3579962.77,17977394.65,7471814,3562828,38417,13850,,
2016,3,11852145,2.49582531,137067297.8,3985387.43,19308923.2,7879669,3912273,44611,15592,,
2016,4,7091978,2.525642705,83531399.72,2265217.76,11762340.66,4743880,2310661,27470,9966,1,
2016,5,11832035,3.059920853,157876709.6,3893942.24,21684764.83,7778028,3987735,49747,16523,2,
2016,6,11131510,3.036900903,150195761.5,3793481.91,20512464.28,7320201,3748267,47028,16013,1,
2016,7,10294073,3.047468358,137547235.4,3379333.56,18191318.28,6627237,3606844,45156,14835,1,
2016,8,9942257,3.033747074,131633007.8,3453785.99,17377722.93,6382400,3502593,43077,14186,1,
2016,9,10116004,3.063381463,140102397.9,3404973.68,18712738.26,6633041,3423960,44642,14360,1,
2016,10,10854616,3.007512348,145411155.7,3483018.18,19763499.86,7130852,3658984,49244,15534,2,
2016,11,10102125,2.951761075,134899730.7,3182651.61,18572048,6644815,3395563,47238,14509,,
2016,12,10132160,2.406799987,119013724.7,3272035.93,16229307.18,6492579,3573312,51774,14494,1,
2017,1,9418012,2.332136721,104563863.7,2976348.34,14840828.31,6296913,3063905,44299,12894,1,
2017,2,8905912,2.343907564,99993760.93,2874653.77,14429114.68,6071235,2778880,42936,12861,,
2017,3,9979517,2.388882116,115870048.6,3299245.65,16695276.46,6766491,3147150,51492,14384,,
2017,4,9730133,2.445394537,114176004.2,3098600.55,16015282.67,6477606,3185821,51812,14893,1,
2017,5,9780434,2.475694031,117831695.4,3157162.92,16632867.49,6554942,3157844,52577,15071,,
2017,6,9596193,2.846837521,124387125.5,3264338.3,17635013.55,6472800,3055878,52168,15346,1,
2017,7,8312205,2.487464954,97457292.3,2666608.27,13472422.24,5454673,2797869,45591,14072,,
2017,8,8295798,2.753267128,103218641.7,2860254.37,14224911.75,5467734,2770265,44352,13447,,
2017,9,8677162,2.502406265,104687233.8,2790451.45,14709751.83,5825964,2791935,45494,13769,,
2017,10,9458514,2.449996403,113417294.8,3026999.15,16096216.15,6425542,2969503,49104,14365,,
2017,11,8997821,2.398851355,106438843.8,2783359.15,15347289.87,6128827,2810799,45560,12635,,
