year,month,total_trips,avg_trip_distance,fare_amount_sum,extra_sum,tip_amount_sum,payment_type_1_count,payment_type_2_count,payment_type_3_count,payment_type_4_count,payment_type_5_count,payment_type_0_count
2015,01,12503930,2.473297898340765,138714586.0599999,3911957.099999997,21969425.949999988,7720759,4734277,37302,11590,2.0,
2015,02,12442200,2.800564058606997,153721326.81000024,3867137.4599999986,20773656.239999976,7981958,4408586,39079,12577,,
2015,03,13341756,2.905747517043483,169365788.48999974,4208378.259999999,22608610.500000007,8434598,4850359,42836,13961,2.0,
2015,04,13063506,2.9491684131350406,168159415.58999994,4199802.91,22103676.179999992,8175727,4830626,42710,14439,4.0,
2015,05,13150573,3.044727465487627,173821053.7400002,4045172.209999998,22622020.1,8152132,4937516,45183,15739,3.0,
2015,06,12060981,2.652314967580166,148070676.4400001,3968499.39,19558914.220000003,7548724,4456635,41347,14273,2.0,
2015,07,11251993,2.5887881506858346,133600794.13999985,3715136.0899999985,17382916.660000015,6944194,4256341,38360,13098,,
2015,08,10788706,2.6017462576142125,126946935.96999994,3516897.7,16373224.000000007,6611214,4126371,37436,13684,1.0,
2015,09,11196444,3.0217265312093793,147637987.4400001,3550295.2499999986,19271413.680000003,6997144,4143151,40857,15291,1.0,
2015,10,11923082,2.5263958723088527,143072691.83999985,3777387.71,19192882.210000016,7583886,4282252,42514,14429,1.0,
2015,11,11301841,3.000249847790283,148336174.24000025,3343058.8299999996,20009855.189999998,7225674,4021577,41020,13566,4.0,
2015,12,11155396,2.546623574815271,135365698.7699997,3634885.0100000007,17866090.57,6976722,4121770,42349,14552,3.0,
2016,01,10582151,2.4274955866723134,118955218.07999994,3378317.380000001,16752626.050000027,6954066,3578711,36544,12829,1.0,
2016,02,11086909,2.4434243818543107,125273805.3699998,3579962.7699999986,17977394.650000036,7471814,3562828,38417,13850,,
2016,03,11852145,2.4958253101020933,137067297.81999993,3985387.43,19308923.200000007,7879669,3912273,44611,15592,,
2016,04,7091978,2.525642705039413,83531399.72000003,2265217.7600000007,11762340.659999996,4743880,2310661,27470,9966,1.0,
2016,05,11832035,3.0599208530062647,157876709.59000018,3893942.2399999993,21684764.829999976,7778028,3987735,49747,16523,2.0,
2016,06,11131510,3.036900902932303,150195761.47000006,3793481.9099999988,20512464.280000012,7320201,3748267,47028,16013,1.0,
2016,07,10294073,3.0474683577627664,137547235.42000005,3379333.5599999996,18191318.279999994,6627237,3606844,45156,14835,1.0,
2016,08,9942257,3.0337470737278274,131633007.82,3453785.99,17377722.93,6382400,3502593,43077,14186,1.0,
2016,09,10116004,3.0633814626803257,140102397.8699998,3404973.68,18712738.26000002,6633041,3423960,44642,14360,1.0,
2016,10,10854616,3.007512347742197,145411155.67999995,3483018.1799999997,19763499.860000025,7130852,3658984,49244,15534,2.0,
2016,11,10102125,2.951761075021343,134899730.7199998,3182651.610000001,18572048.00000001,6644815,3395563,47238,14509,,
2016,12,10132160,2.406799987366959,119013724.6799999,3272035.9299999997,16229307.18,6492579,3573312,51774,14494,1.0,
2017,01,9418012,2.332136720573298,104563863.66999999,2976348.34,14840828.309999995,6296913,3063905,44299,12894,1.0,
2017,02,8905912,2.343907563874424,99993760.93000011,2874653.769999999,14429114.679999996,6071235,2778880,42936,12861,,
2017,03,9979517,2.388882116238688,115870048.61999983,3299245.6499999985,16695276.459999997,6766491,3147150,51492,14384,,
2017,04,9730133,2.4453945367447707,114176004.1599998,3098600.5499999975,16015282.669999998,6477606,3185821,51812,14893,1.0,
2017,05,9780434,2.4756940305512005,117831695.37999977,3157162.919999999,16632867.49,6554942,3157844,52577,15071,,
2017,06,9596193,2.846837520879373,124387125.50999978,3264338.299999996,17635013.550000053,6472800,3055878,52168,15346,1.0,
2017,07,8312205,2.4874649542449982,97457292.2999999,2666608.2699999996,13472422.240000004,5454673,2797869,45591,14072,,
2017,08,8295798,2.7532671275264944,103218641.65999995,2860254.369999999,14224911.749999994,5467734,2770265,44352,13447,,
2017,09,8677162,2.5024062648594123,104687233.76999994,2790451.449999999,14709751.830000008,5825964,2791935,45494,13769,,
